"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(ElectroPuls (0,1) Waveform)","Position(ElectroPuls (0,1):Position) (mm)","Load(ElectroPuls (0,1):Load) (N)","Displacement(ElectroPuls (0,1):Digital Position) (mm)",
392,148,1,1,2,1,-5.00060263528956,3.70027753524482,-1.09215771275721,
396,152,1,1,2,1,-5.00054899111051,3.70302866213024,-1.09215771275721,
400,156,1,1,2,1,-5.00057134285178,3.70009243488312,-1.09215771275721,
404,160,1,1,2,1,-5.00045243158823,3.69411404244602,-1.09215771275721,
408,164,1,1,2,1,-5.00061470522985,3.69666120968759,-1.09215771275721,
412,168,1,1,2,1,-5.00065270319,3.69283463805914,-1.09215771275721,
416,172,1,1,2,1,-5.00047388925985,3.68674262426794,-1.09215771275721,
420,176,1,1,2,1,-5.00066164388651,3.68958967737854,-1.09215771275721,
424,180,1,1,2,1,-5.00051635756826,3.68384388275445,-1.09215771275721,
428,184,1,1,2,1,-5.00055167331947,3.68049764074385,-1.09215771275721,
432,188,1,1,2,1,-5.00063348069251,3.68013186380267,-1.09215771275721,
436,192,1,1,2,1,-5.00063348069251,3.67766432464123,-1.09215771275721,
440,196,1,1,2,1,-5.00052529826477,3.67356208153069,-1.09215771275721,
444,200,1,1,2,1,-5.00042784467284,3.67650180123746,-1.09215771275721,
448,204,1,1,2,1,-5.0004466201355,3.67486057803035,-1.09215771275721,
452,208,1,1,2,1,-5.00052216902099,3.67123633623123,-1.09215771275721,
456,212,1,1,2,1,-5.00072288765759,3.66923515684903,-1.09215771275721,
460,216,1,1,2,1,-5.0005628491901,3.67028429172933,-1.09215771275721,
464,220,1,1,2,1,-5.00041398659325,3.66560555994511,-1.09215771275721,
468,224,1,1,2,1,-5.00047791257328,3.66169819608331,-1.09215771275721,
472,228,1,1,2,1,-5.00066074981686,3.66550660692155,-1.09215771275721,
476,232,1,1,2,1,-5.00055256738912,3.6584387999028,-1.09215771275721,
480,236,1,1,2,1,-5.00038761153855,3.65827372297645,-1.09215771275721,
484,240,1,1,2,1,-5.00061783447362,3.65978991612792,-1.09215771275721,
488,244,1,1,2,1,-5.00064778580692,3.65275796502829,-1.09215771275721,
492,248,1,1,2,1,-5.00061828150845,3.65135772153735,-1.09215771275721,
496,252,1,1,2,1,-5.00033620253363,3.65540757775307,-1.09215771275721,
500,256,1,1,2,1,-5.00044438496137,3.64585104398429,-1.09215771275721,
504,260,1,1,2,1,-5.00070098295115,3.64605220966041,-1.09215771275721,
508,264,1,1,2,1,-5.0003268148023,3.64813487976789,-1.09215771275721,
512,268,1,1,2,1,-5.00043767943899,3.64283821545541,-1.09215771275721,
516,272,1,1,2,1,-5.00043857350864,3.64051340147853,-1.09215771275721,
520,276,1,1,2,1,-5.00035721317042,3.64332762546837,-1.09215771275721,
524,280,1,1,2,1,-5.00045645490166,3.63787217065692,-1.09204818922481,
528,284,1,1,2,1,-5.0004993702449,3.6359541118145,-1.09204818922481,
532,288,1,1,2,1,-5.00058296575724,3.63912875764072,-1.09204818922481,
536,292,1,1,2,1,-5.00063884511042,3.63421300426126,-1.09204818922481,
540,296,1,1,2,1,-5.00039297595645,3.6325145047158,-1.09204818922481,
544,300,1,1,2,1,-5.00058028354829,3.63245164044201,-1.09215771275721,
548,304,1,1,2,1,-5.00055971994632,3.63232614472508,-1.0920633884089,
552,308,1,1,2,1,-5.00050160541902,3.62825742922723,-1.09204818922481,
556,312,1,1,2,1,-5.00072422876206,3.62724740989506,-1.09204818922481,
560,316,1,1,2,1,-5.00049847617525,3.62682295963168,-1.09204818922481,
564,320,1,1,2,1,-5.00072333469241,3.62404342740774,-1.09204818922481,
568,324,1,1,2,1,-5.00037777677239,3.62093257717788,-1.09204818922481,
572,328,1,1,2,1,-5.00061872854327,3.62130277790129,-1.09204818922481,
576,332,1,1,2,1,-5.00060710563781,3.62129462882876,-1.09205232429695,
580,336,1,1,2,1,-5.00058520093137,3.61356232315302,-1.09204818922481,
584,340,1,1,2,1,-5.00056240215528,3.61891975626349,-1.09204818922481,
588,344,1,1,2,1,-5.00070142998597,3.61801404505968,-1.09204818922481,
592,348,1,1,2,1,-5.00072288765759,3.60836950130761,-1.09215905386169,
596,352,1,1,2,1,-5.000325026663,3.61206126399338,-1.09204818922481,
600,356,1,1,2,1,-5.0004113043843,3.61491390503943,-1.09204818922481,
604,360,1,1,2,1,-5.00071752323968,3.6088905762881,-1.09204818922481,
608,364,1,1,2,1,-5.0004712070509,3.60622862353921,-1.09204818922481,
612,368,1,1,2,1,-5.00060129418508,3.60832363367081,-1.09204818922481,
616,372,1,1,2,1,-5.00071707620486,3.60936648212373,-1.09315013007122,
620,376,1,1,2,1,-5.00065315022483,3.6026535090059,-1.09325618908372,
624,380,1,1,2,1,-5.00058251872242,3.60203091986477,-1.09325618908372,
628,384,1,1,2,1,-5.00047880664293,3.60516738146544,-1.09325618908372,
632,388,1,1,2,1,-5.0007072414387,3.60120250843465,-1.09207333493378,
636,392,1,1,2,1,-5.00061515226467,3.59865161590278,-1.09315124765829,
640,396,1,1,2,1,-5.00047165408572,3.60022252425551,-1.09315124765829,
644,400,1,1,2,1,-5.00052842750855,3.59453912824392,-1.09315124765829,
648,404,1,1,2,1,-5.0003040160262,3.59338382259011,-1.09315124765829,
652,408,1,1,2,1,-5.00069785370737,3.59723321162164,-1.09315124765829,
656,412,1,1,2,1,-5.00076982631425,3.59368859790266,-1.09315124765829,
660,416,1,1,2,1,-5.00051859274239,3.59009415842593,-1.09315124765829,
664,420,1,1,2,1,-5.00065136208553,3.59224574640393,-1.09315013007122,
668,424,1,1,2,1,-5.00057402506074,3.59015073627234,-1.09315013007122,
672,428,1,1,2,1,-5.0004412557176,3.58777469955385,-1.09315013007122,
676,432,1,1,2,1,-5.00045511379718,3.58981126919389,-1.09315013007122,
680,436,1,1,2,1,-5.00037867084204,3.58872697688639,-1.09315013007122,
684,440,1,1,2,1,-5.00058207168759,3.5826051607728,-1.09315013007122,
688,444,1,1,2,1,-5.00054675593639,3.58544196933508,-1.09315013007122,
692,448,1,1,2,1,-5.0004448319962,3.5852175205946,-1.09315013007122,
696,452,1,1,2,1,-5.00074970974711,3.58475279062986,-1.09315013007122,
700,456,1,1,2,1,-5.00052216902099,3.57913482002914,-1.09315013007122,
704,460,1,1,2,1,-5.00064063324972,3.58289037831128,-1.09315013007122,
708,464,1,1,2,1,-5.0004466201355,3.58145986683667,-1.09315013007122,
712,468,1,1,2,1,-5.00048506513048,3.5773126874119,-1.09315013007122,
716,472,1,1,2,1,-5.00069695963772,3.57833714224398,-1.09315013007122,
720,476,1,1,2,1,-5.00050875797623,3.57574713416398,-1.09315013007122,
724,480,1,1,2,1,-5.0004783596081,3.57281207107008,-1.09315013007122,
728,484,1,1,2,1,-5.00058654203585,3.57513502240181,-1.09315013007122,
732,488,1,1,2,1,-5.00077429666251,3.57479485683143,-1.09315013007122,
736,492,1,1,2,1,-5.00060308232439,3.57386330142617,-1.09315013007122,
740,496,1,1,2,1,-5.00045958414544,3.57093545608222,-1.09315013007122,
744,500,1,1,2,1,-5.00086459769724,3.57329845428467,-1.09315013007122,
748,504,1,1,2,1,-5.00045198455341,3.57267889194191,-1.09315013007122,
752,508,1,1,2,1,-5.00046897187677,3.56839224696159,-1.09315013007122,
756,512,1,1,2,1,-5.0003339673595,3.56998504139483,-1.09315013007122,
760,516,1,1,2,1,-5.00071797027451,3.5704136826098,-1.09315013007122,
764,520,1,1,2,1,-5.00063571586664,3.5639766138047,-1.09315013007122,
768,524,1,1,2,1,-5.00045377269271,3.56657197698951,-1.09315013007122,
772,528,1,1,2,1,-5.00041085734947,3.56822204776108,-1.09315013007122,
776,532,1,1,2,1,-5.00058520093137,3.56552610173821,-1.09315013007122,
780,536,1,1,2,1,-5.00050071134937,3.56140686199069,-1.09315013007122,
784,540,1,1,2,1,-5.00043678536934,3.56415752321482,-1.09315013007122,
788,544,1,1,2,1,-5.00047612443398,3.5613039508462,-1.09315013007122,
792,548,1,1,2,1,-5.0006437624935,3.55638726614416,-1.09315013007122,
796,552,1,1,2,1,-5.00069338335911,3.55770299211144,-1.09315013007122,
800,556,1,1,2,1,-5.0005065228021,3.56118916533887,-1.09315013007122,
804,560,1,1,2,1,-5.0005065228021,3.55739053338766,-1.09315013007122,
808,564,1,1,2,1,-5.0005065228021,3.55610228143632,-1.09315013007122,
812,568,1,1,2,1,-5.00069248928946,3.55837726965547,-1.09315013007122,
816,572,1,1,2,1,-5.00040415182709,3.55449807830155,-1.09315013007122,
820,576,1,1,2,1,-5.00069740667254,3.55401309207082,-1.09315013007122,
824,580,1,1,2,1,-5.00046047821509,3.55429388582706,-1.09315013007122,
828,584,1,1,2,1,-5.00052887454337,3.5537644289434,-1.09315013007122,
832,588,1,1,2,1,-5.0007126058566,3.55090433731675,-1.09315013007122,
836,592,1,1,2,1,-5.00053870930953,3.553417744115,-1.09315013007122,
840,596,1,1,2,1,-5.00053870930953,3.55179118923843,-1.09315013007122,
844,600,1,1,2,1,-5.00053870930953,3.54818906635046,-1.09315013007122,
848,604,1,1,2,1,-5.00074747457299,3.54874739423394,-1.09315013007122,
852,608,1,1,2,1,-5.00067952527953,3.54722351767123,-1.09315013007122,
856,612,1,1,2,1,-5.00071126475213,3.54821165092289,-1.09315013007122,
860,616,1,1,2,1,-5.00035989537938,3.5471327137202,-1.09315013007122,
864,620,1,1,2,1,-5.0003603424142,3.54791269637644,-1.09315013007122,
868,624,1,1,2,1,-5.00040012851366,3.54829430580139,-1.09315013007122,
872,628,1,1,2,1,-5.00052038088169,3.5431869328022,-1.09315013007122,
876,632,1,1,2,1,-5.00080916537889,3.54820536449552,-1.09315013007122,
880,636,1,1,2,1,-5.00046181931956,3.54823935776949,-1.09315013007122,
884,640,1,1,2,1,-5.00068488969743,3.53953521698713,-1.09315013007122,
888,644,1,1,2,1,-5.00056866064283,3.54404654353857,-1.09315013007122,
892,648,1,1,2,1,-5.00081542386644,3.54366470128298,-1.09315013007122,
896,652,1,1,2,1,-5.00086549176689,3.54024721309543,-1.09315013007122,
900,656,1,1,2,1,-5.0007899428814,3.53768467903137,-1.09315013007122,
904,660,1,1,2,1,-5.00069114818499,3.54177062399685,-1.09315013007122,
908,664,1,1,2,1,-5.00057313099108,3.54130775667727,-1.09315013007122,
912,668,1,1,2,1,-5.00057536616521,3.53449117392302,-1.09315013007122,
916,672,1,1,2,1,-5.00045064344893,3.53441038168967,-1.09315013007122,
920,676,1,1,2,1,-5.0005910123841,3.53911845013499,-1.09315013007122,
924,680,1,1,2,1,-5.00073093428445,3.53445811197162,-1.09315013007122,
928,684,1,1,2,1,-5.0005874361055,3.53191047906876,-1.09315013007122,
932,688,1,1,2,1,-5.00035050764804,3.53498035110533,-1.09315013007122,
936,692,1,1,2,1,-5.00073048724962,3.53544391691685,-1.09315013007122,
940,696,1,1,2,1,-5.00084224595597,3.53015470318496,-1.09315013007122,
944,700,1,1,2,1,-5.0005065228021,3.53493331931531,-1.09315013007122,
948,704,1,1,2,1,-5.00050249948867,3.53136099874973,-1.09315013007122,
952,708,1,1,2,1,-5.00044974937928,3.52866761386395,-1.09315013007122,
956,712,1,1,2,1,-5.00043276205591,3.53145855478942,-1.09315013007122,
960,716,1,1,2,1,-5.00035810724007,3.53122735396028,-1.09315013007122,
964,720,1,1,2,1,-5.00075507416502,3.52707225829363,-1.09315013007122,
968,724,1,1,2,1,-5.00050026431455,3.52455186657608,-1.09315013007122,
972,728,1,1,2,1,-5.00044930234445,3.53380898013711,-1.09315013007122,
976,732,1,1,2,1,-5.00057670726969,3.52749996818602,-1.09315013007122,
980,736,1,1,2,1,-5.00065940871238,3.52246919646859,-1.09315013007122,
984,740,1,1,2,1,-5.00063884511042,3.53024597279727,-1.09315013007122,
988,744,1,1,2,1,-5.00076982631425,3.52852675132453,-1.09315013007122,
992,748,1,1,2,1,-5.00081900014505,3.52062680758536,-1.09315013007122,
996,752,1,1,2,1,-5.00060487046369,3.52306640706956,-1.09315013007122,
1000,756,1,1,2,1,-5.00049713507077,3.52835678495467,-1.09315013007122,
1004,760,1,1,2,1,-5.0005275334389,3.51938651874661,-1.09315013007122,
1008,764,1,1,2,1,-5.00069561853324,3.5224100574851,-1.09315013007122,
1012,768,1,1,2,1,-5.00049489989664,3.52400634437799,-1.09315013007122,
1016,772,1,1,2,1,-5.00059592976718,3.52101982571185,-1.09315013007122,
1020,776,1,1,2,1,-5.00051725163791,3.5178738180548,-1.09315013007122,
1024,780,1,1,2,1,-5.00059861197613,3.52235301397741,-1.09315013007122,
1028,784,1,1,2,1,-5.00059861197613,3.52184823714197,-1.09315013007122,
1032,788,1,1,2,1,-5.00068757190638,3.51504515856504,-1.09315013007122,
1036,792,1,1,2,1,-5.00059592976718,3.51804029196501,-1.09315013007122,
1040,796,1,1,2,1,-5.00078860177692,3.5212819930166,-1.09315013007122,
1044,800,1,1,2,1,-5.00069472446359,3.5176866222173,-1.09315013007122,
1048,804,1,1,2,1,-5.00044751420515,3.5148779861629,-1.09315013007122,
1052,808,1,1,2,1,-5.00072691097102,3.51513200439513,-1.09315013007122,
1056,812,1,1,2,1,-5.00053602710058,3.51698976010084,-1.09315013007122,
1060,816,1,1,2,1,-5.00051635756826,3.51264094933867,-1.09315013007122,
1064,820,1,1,2,1,-5.00048551216531,3.51407169364393,-1.09315013007122,
1068,824,1,1,2,1,-5.00063839807559,3.5133024211973,-1.09315013007122,
1072,828,1,1,2,1,-5.00038135305099,3.51022277027369,-1.09315013007122,
1076,832,1,1,2,1,-5.00064823284175,3.51480511017144,-1.09315013007122,
1080,836,1,1,2,1,-5.00049311175734,3.51780606433749,-1.09315013007122,
1084,840,1,1,2,1,-5.00040370479226,3.51155712269247,-1.09315013007122,
1088,844,1,1,2,1,-5.000765355966,3.51347541436553,-1.09315013007122,
1092,848,1,1,2,1,-5.0007072414387,3.51193873211741,-1.09315013007122,
1096,852,1,1,2,1,-5.00044751420515,3.50839155726135,-1.09315013007122,
1100,856,1,1,2,1,-5.00034201398636,3.50900134071708,-1.09315013007122,
1104,860,1,1,2,1,-5.00043678536934,3.51308356039226,-1.09315013007122,
1108,864,1,1,2,1,-5.00057581320004,3.50789935328066,-1.09315013007122,
1112,868,1,1,2,1,-5.00063929214524,3.51009401492774,-1.09315013007122,
1116,872,1,1,2,1,-5.00064689173727,3.51020065136254,-1.09315013007122,
1120,876,1,1,2,1,-5.00067639603575,3.50382132455707,-1.09315013007122,
1124,880,1,1,2,1,-5.00044974937928,3.50351398810744,-1.09315013007122,
1128,884,1,1,2,1,-5.00074032201578,3.50734335370362,-1.09315013007122,
1132,888,1,1,2,1,-5.00033977881223,3.50697292014956,-1.09315013007122,
1136,892,1,1,2,1,-5.00051769867274,3.50715382955968,-1.09315013007122,
1140,896,1,1,2,1,-5.00067997231435,3.5060509108007,-1.09315013007122,
1144,900,1,1,2,1,-5.0006173874388,3.50613426417112,-1.09315013007122,
1148,904,1,1,2,1,-5.00082391752813,3.50079708732665,-1.09315013007122,
1152,908,1,1,2,1,-5.00051188722001,3.50299919955432,-1.09315013007122,
1156,912,1,1,2,1,-5.00051188722001,3.50534101016819,-1.09315013007122,
1160,916,1,1,2,1,-5.00050384059315,3.49963176995516,-1.09315013007122,
1164,920,1,1,2,1,-5.00063124551838,3.50011908449233,-1.09315013007122,
1168,924,1,1,2,1,-5.00031787410579,3.50424204953015,-1.09315013007122,
1172,928,1,1,2,1,-5.00049713507077,3.49819078110158,-1.09315013007122,
1176,932,1,1,2,1,-5.00057894244382,3.49972792901099,-1.09315013007122,
1180,936,1,1,2,1,-5.00057894244382,3.50524228997529,-1.09315013007122,
1184,940,1,1,2,1,-5.00057894244382,3.49521287716925,-1.09325596556631,
1188,944,1,1,2,1,-5.00057894244382,3.49680357612669,-1.09305032954629,
1192,948,1,1,2,1,-5.0003849293296,3.50017403252423,-1.09305032954629,
1196,952,1,1,2,1,-5.0003549779963,3.50099755451083,-1.09305032954629,
1200,956,1,1,2,1,-5.00068131341883,3.49754909984767,-1.09305032954629,
1204,960,1,1,2,1,-5.00070768847353,3.500941907987,-1.09305032954629,
1208,964,1,1,2,1,-5.00072109951829,3.49804759025574,-1.09305032954629,
1212,968,1,1,2,1,-5.00051099315036,3.49122192710638,-1.09305032954629,
1216,972,1,1,2,1,-5.00063348069251,3.49927670322359,-1.09305032954629,
